apiGroup,endpoint,codeField,code,name,useInDoban
지역별 관광 수요 강도,areaTarSjrnDsList,tarSjrnDsIxCd,21,관광 체류 강도 전체,체류형/숙박형 수요 판단
지역별 관광 수요 강도,areaTarSjrnDsList,tarSjrnDsIxCd,2101,타권역 방문자 비중,외부 방문객 유입 판단
지역별 관광 수요 강도,areaTarSjrnDsList,tarSjrnDsIxCd,2102,숙박 비중,숙박/야간 소비 가능성 판단
지역별 관광 수요 강도,areaTarSjrnDsList,tarSjrnDsIxCd,2103,1박 방문자수,단기 체류 수요 판단
지역별 관광 수요 강도,areaTarSjrnDsList,tarSjrnDsIxCd,2104,2박 방문자수,중기 체류 수요 판단
지역별 관광 수요 강도,areaTarSjrnDsList,tarSjrnDsIxCd,2105,3박 이상 방문자수,장기 체류 수요 판단
지역별 관광 수요 강도,areaTarExpDsList,tarExpDsIxCd,22,관광 소비 강도 전체,소비 기반 창업 기회 판단
지역별 관광 수요 강도,areaTarExpDsList,tarExpDsIxCd,2201,외지인 소비액,외부 관광객 소비 규모 판단
지역별 관광 수요 강도,areaTarExpDsList,tarExpDsIxCd,2202,전체 대비 외지인 소비액 비중,외지인 의존 소비 판단
지역별 관광 수요 강도,areaTarExpDsList,tarExpDsIxCd,2203,방문량 대비 방문 소비액,방문객당 소비 효율 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,11,관광 서비스 수요 전체,서비스형 창업 기회 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1101,레포츠 SNS 언급량,레포츠/액티비티 아이템 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1102,휴식 힐링 SNS 언급량,웰니스/휴식 아이템 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1103,미식 SNS 언급량,식음료 아이템 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1104,체험 SNS 언급량,원데이 클래스/체험 아이템 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1105,쇼핑업 소비액,기념품/편집숍 아이템 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1106,식음료 소비액,카페/음식점 아이템 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1107,숙박업 소비액,숙박 연계 서비스 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1108,여가 서비스업 소비액,체험/여가 서비스 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1109,운송업 소비액,이동/교통 연계 서비스 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1110,내비게이션 숙박 검색량,숙박 목적지 관심 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1111,내비게이션 음식 검색량,음식 목적지 관심 판단
지역별 관광 자원 수요,areaTarSvcDemList,tarSvcDemIxCd,1112,내비게이션 쇼핑 검색량,쇼핑 목적지 관심 판단
지역별 관광 자원 수요,areaCulResDemList,culResDemIxCd,12,문화 자원 수요 전체,문화/관광 콘텐츠 창업 판단
지역별 관광 자원 수요,areaCulResDemList,culResDemIxCd,1201,내비게이션 문화 관광 유형 검색량,문화 관광 수요 판단
지역별 관광 자원 수요,areaCulResDemList,culResDemIxCd,1202,내비게이션 레저 스포츠 유형 검색량,레저 스포츠 수요 판단
지역별 관광 자원 수요,areaCulResDemList,culResDemIxCd,1203,내비게이션 역사 관광 유형 검색량,역사 관광 수요 판단
지역별 관광 자원 수요,areaCulResDemList,culResDemIxCd,1204,내비게이션 체험 관광 유형 검색량,체험 관광 수요 판단
지역별 관광 자원 수요,areaCulResDemList,culResDemIxCd,1205,내비게이션 자연 관광 유형 검색량,자연 관광 수요 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050100,온천/사우나/스파,웰니스 시설형 창업 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050200,찜질방,휴식형 창업 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050300,한방 체험,한방/건강 체험 아이템 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050400,힐링 명상,명상/심리/힐링 콘텐츠 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050500,뷰티 스파,뷰티/스파 아이템 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050600,기타 웰니스,기타 웰니스 아이템 판단
웰니스 관광정보,areaBasedList/searchKeyword/locationBasedList,wellnessThemaCd,EX050700,자연 치유,자연 기반 치유 콘텐츠 판단
