ID,place_name,place_name_normalized,area_cd,area_nm,signgu_cd,signgu_nm,full_region_nm,reason,confidence,usage_note
place_jeonju_hanok_village,전주 한옥마을,전주한옥마을,52,전북특별자치도,52111,전주시 완산구,전북특별자치도 전주시 완산구,전주 한옥마을은 전주시 완산구에 위치한 대표 관광지,high,사용자가 전주 한옥마을을 명시하면 이 지역코드를 우선 사용
place_hanok_village_jeonju,한옥마을,한옥마을,52,전북특별자치도,52111,전주시 완산구,전북특별자치도 전주시 완산구,도반 MVP 테스트 질문에서 한옥마을은 전주 한옥마을을 의미하는 경우가 많음,medium,문맥에 전주가 없으면 전주 한옥마을인지 확인 질문
place_gyeongbokgung,경복궁,경복궁,11,서울특별시,11110,종로구,서울특별시 종로구,경복궁은 서울 종로구에 위치,high,궁궐/역사 관광지 창업 분석 시 사용
place_bukchon_hanok_village,북촌 한옥마을,북촌한옥마을,11,서울특별시,11110,종로구,서울특별시 종로구,북촌 한옥마을은 서울 종로구에 위치,high,한옥마을 단독 입력과 구분 필요
place_insadong,인사동,인사동,11,서울특별시,11110,종로구,서울특별시 종로구,인사동은 서울 종로구의 대표 관광 상권,high,전통문화/공예/기념품 상권 분석 시 사용
place_ikseondong,익선동,익선동,11,서울특별시,11110,종로구,서울특별시 종로구,익선동은 서울 종로구의 한옥 기반 상권,high,카페/디저트/체험 상권 분석 시 사용
place_gwangjang_market,광장시장,광장시장,11,서울특별시,11110,종로구,서울특별시 종로구,광장시장은 서울 종로구에 위치,high,먹거리/전통시장 상권 분석 시 사용
place_myeongdong,명동,명동,11,서울특별시,11140,중구,서울특별시 중구,명동은 서울 중구의 대표 관광 상권,high,쇼핑/화장품/식음료 창업 분석 시 사용
place_n_seoul_tower,N서울타워,n서울타워,11,서울특별시,11170,용산구,서울특별시 용산구,N서울타워는 서울 용산구 남산에 위치,high,전망대/야간 관광 동선 분석 시 사용
place_namsan_tower,남산타워,남산타워,11,서울특별시,11170,용산구,서울특별시 용산구,남산타워는 N서울타워를 의미하는 일반 별칭,high,전망대/야간 관광 동선 분석 시 사용
place_itaewon,이태원,이태원,11,서울특별시,11170,용산구,서울특별시 용산구,이태원은 서울 용산구의 대표 상권,high,외국인/야간/식음료 상권 분석 시 사용
place_hongdae,홍대,홍대,11,서울특별시,11440,마포구,서울특별시 마포구,홍대 상권은 서울 마포구를 기준으로 분석,high,청년/문화/카페/디저트 상권 분석 시 사용
place_hongik_university_area,홍대입구,홍대입구,11,서울특별시,11440,마포구,서울특별시 마포구,홍대입구 상권은 서울 마포구를 기준으로 분석,high,청년/문화/카페/디저트 상권 분석 시 사용
place_haeundae_beach,해운대 해수욕장,해운대해수욕장,26,부산광역시,26350,해운대구,부산광역시 해운대구,해운대 해수욕장은 부산 해운대구에 위치,high,해변 관광/숙박/식음료 상권 분석 시 사용
place_haeundae,해운대,해운대,26,부산광역시,26350,해운대구,부산광역시 해운대구,해운대는 부산 해운대구 관광 상권을 의미하는 경우가 많음,high,해변 관광/숙박/식음료 상권 분석 시 사용
place_gamcheon_culture_village,감천문화마을,감천문화마을,26,부산광역시,26380,사하구,부산광역시 사하구,감천문화마을은 부산 사하구에 위치,high,문화마을/사진/기념품 상권 분석 시 사용
place_bulguksa,불국사,불국사,47,경상북도,47130,경주시,경상북도 경주시,불국사는 경북 경주시에 위치,high,역사/문화 관광 창업 분석 시 사용
place_cheomseongdae,첨성대,첨성대,47,경상북도,47130,경주시,경상북도 경주시,첨성대는 경북 경주시에 위치,high,역사/야간 관광 동선 분석 시 사용
place_hwangridan_gil,황리단길,황리단길,47,경상북도,47130,경주시,경상북도 경주시,황리단길은 경주 대표 관광 상권,high,카페/디저트/기념품 상권 분석 시 사용
place_bomun_tourist_complex,보문관광단지,보문관광단지,47,경상북도,47130,경주시,경상북도 경주시,보문관광단지는 경주시에 위치,high,숙박/가족 관광/레저 상권 분석 시 사용
place_anmok_beach,안목해변,안목해변,51,강원특별자치도,51150,강릉시,강원특별자치도 강릉시,안목해변은 강릉시에 위치한 카페거리 연계 관광지,high,해변/카페/디저트 상권 분석 시 사용
place_gangneung_coffee_street,강릉 커피거리,강릉커피거리,51,강원특별자치도,51150,강릉시,강원특별자치도 강릉시,강릉 커피거리는 안목해변 일대 상권으로 강릉시 기준,high,카페/디저트 경쟁 분석 시 사용
place_sokcho_beach,속초해수욕장,속초해수욕장,51,강원특별자치도,51210,속초시,강원특별자치도 속초시,속초해수욕장은 속초시에 위치,high,해변/숙박/식음료 상권 분석 시 사용
place_sokcho_tourist_market,속초관광수산시장,속초관광수산시장,51,강원특별자치도,51210,속초시,강원특별자치도 속초시,속초관광수산시장은 속초시에 위치,high,먹거리/전통시장 상권 분석 시 사용
place_jeju_aewol,애월,애월,50,제주특별자치도,50110,제주시,제주특별자치도 제주시,애월은 제주시 서부 관광 상권,high,카페/해안/디저트 상권 분석 시 사용
place_jeju_aewol_cafe_street,애월 카페거리,애월카페거리,50,제주특별자치도,50110,제주시,제주특별자치도 제주시,애월 카페거리는 제주시 애월읍 일대 상권,high,카페/디저트/해안 관광 분석 시 사용
place_seongsan_ilchulbong,성산일출봉,성산일출봉,50,제주특별자치도,50130,서귀포시,제주특별자치도 서귀포시,성산일출봉은 서귀포시에 위치,high,자연 관광/일출 관광 동선 분석 시 사용
place_jungmun_tourist_complex,중문관광단지,중문관광단지,50,제주특별자치도,50130,서귀포시,제주특별자치도 서귀포시,중문관광단지는 서귀포시에 위치,high,숙박/가족 관광/리조트 상권 분석 시 사용
place_odongdo,오동도,오동도,46,전라남도,46130,여수시,전라남도 여수시,오동도는 전남 여수시에 위치,high,해양/자연 관광 동선 분석 시 사용
place_yeosu_night_sea,여수밤바다,여수밤바다,46,전라남도,46130,여수시,전라남도 여수시,여수밤바다는 여수 해양 관광 상권을 의미하는 경우가 많음,medium,정확한 장소가 필요하면 세부 위치 확인 질문
place_dongpirang_village,동피랑마을,동피랑마을,48,경상남도,48220,통영시,경상남도 통영시,동피랑마을은 통영시에 위치,high,문화마을/사진/기념품 상권 분석 시 사용
place_suwon_hwaseong,수원화성,수원화성,41,경기도,41115,수원시 팔달구,경기도 수원시 팔달구,수원화성 주요 관광 동선은 수원시 팔달구를 기준으로 분석,high,역사/성곽/카페거리 상권 분석 시 사용
place_hahoe_village,하회마을,하회마을,47,경상북도,47170,안동시,경상북도 안동시,하회마을은 경북 안동시에 위치,high,전통문화/체험/기념품 상권 분석 시 사용
place_gongsanseong,공산성,공산성,44,충청남도,44150,공주시,충청남도 공주시,공산성은 충남 공주시에 위치,high,역사/문화 관광 창업 분석 시 사용
place_buyeo_baekje_cultural_land,백제문화단지,백제문화단지,44,충청남도,44760,부여군,충청남도 부여군,백제문화단지는 충남 부여군에 위치,high,역사/문화 관광 창업 분석 시 사용
